,g+AF8-cat,g,g+AF8-sign,mock+AF8-nor,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,std,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,P+AC0-value,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1
MLH1,DNA repair,MLH1,up,1,0.818064885,0.9151302939,0.8362155209,0.9574817779,0.8736839598,0.9193463865,0.8759468344,0.8700395408,0.92615883,0.9100328712,0.721976085,0.7101138583,1.0244152256,,0.0320692514,0.0593887502,0.032001879,0.0017179956,0.0232771562,0.0475648981,0.0013474475,0.0258709927,0.0004042343,0.0178873661,0.0551106043,0.0111164422,0.0224013153,,0.2159395892,0.6280341502,0.1018015239,0.197602294,0.1471557331,0.2371491133,0.2219317668,0.131568731,0.1003222168,0.1969414825,0.1028886763,0.0236231811
MSH6,DNA repair,MSH6,up,1,1.0862173513,0.9078312035,1.0809845712,0.9076964538,0.8199519393,0.8407033934,0.8613425562,0.638197049,0.9749365553,0.8908302827,0.8641723,1.1110337548,1.3982752038,,0.0370966254,0.0262026678,0.0004128905,0.0075273118,0.0400821415,0.0006987378,3.17608094498752E+AC0-05,0.0494515803,0.0053040552,0.0351274553,0.01216439,0.0234077166,0.0296963568,,0.0388763316,0.8746266069,0.0823880964,0.0207176935,0.067663131,0.073912313,0.012042347,0.1412556564,0.0327332467,0.0532868769,0.5206341941,0.0131942636
IL+AC0-1B,Immunity,IL+AC0-1B,up,1,0,0,0,0,0,0,2.232,0,0,0,0,0,0,,0,0,0,0,0,0,0.0190918831,0,0,0,0,0,0,,1,1,1,1,1,0.003851897,1,1,1,1,1,1
IL+AC0-8,Immunity,IL+AC0-8,up,1,0,2.969,2.21475,2.851,6.79625,3.69925,83.60225,0,0,1.667,2.34425,0,3.66925,,0,0.1315218613,0.1368251622,0.1187939392,0.0611647366,0.3079450032,0.8304969145,0,0,0.0537401154,0.0456083874,0,0.1644023266,,0.0199358254,0.0277912406,0.0187526391,0.0040517363,0.0374294815,0.0044717935,1,1,0.0145076054,0.0087561081,1,0.0201636522
IL+AC0-6,Immunity,IL+AC0-6,up,1,2.1846867327,3.6497226516,3.9011548604,1.9087933073,1.8234973175,2.2319723561,10.3356369919,0.9454396654,1.5766118032,1.2217877603,0.5614258434,1.1238519596,1.2199690825,,0.0762597656,0.0339503847,0.0888625599,0.1163829475,0.0225049899,0.0057869974,0.1310433409,0.0227621897,0.0334359849,0.0069443969,0.0038579983,0.0096449957,0.0748451663,,0.008470471,0.0025827088,0.1259691475,0.0741609336,0.541285007,0.0007517599,0.0174725258,0.0288652765,0.0342065773,0.0208233453,0.0298269202,0.0060872488
IL+AC0-10,Immunity,IL+AC0-10,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL+AC0-18,Immunity,IL+AC0-18,up,1,1.111436486,1.1074000791,1.0701226751,0.6573802928,0.8794618124,0.5103284527,0.5695290859,0,0.7501385042,0.8390185991,0.5578947368,0,1.0033240997,,0.0218260107,0.0089542608,0.0072753369,0.0810360601,0.0029101348,0.0114166825,0.0434281648,0,0.1690116723,0.0204828715,0.0265269976,0,0.0439878061,,0.840773786,0.2010272199,0.0637295544,0.0390381654,0.0036153065,0.0127351021,0.0088366138,0.1984302872,0.0060724989,0.002296611,0.0088366138,0.1306858513
TNF+AC0-a,Immunity,TNF+AC0-a,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
TYR,Whitening,TYR,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
TYRP1,Whitening,TYRP1,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
MC1R,Whitening,MC1R,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
MITF,Whitening,MITF,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
COL1A1,Collagen,COL1A1,up,1,0.7011752391,0.739495752,0.7561541199,1.5123131773,1.218930112,1.80828957,1.6583906558,1.5881558473,0.7661309099,0.8840771678,0.7868055548,1.0672423033,0.6175751858,,0.009211767,0.0352241318,0.0147294274,0.2563841544,0.0042897829,0.0075668086,0.1068253434,0.1226523945,0.0019559562,0.0158676043,0.0437336023,0.1082439018,0.0068110677,,0.3551469571,0.0635699034,0.1395861525,0.0017145116,7.87845277740827E+AC0-05,0.0486024267,0.0607513987,0.0540210018,0.0113294705,0.2084540798,0.1290413243,0.0121200177
COL1A2,Collagen,COL1A2,up,1,1.0965169148,1.1377961467,0.9295957847,0.6393615648,0.5575355333,0.6931540618,0.5428499296,0.7743129367,0.6752987445,0.625782769,0.4274928017,1.9639461878,2.5043957937,,0.0121114413,0.011947177,0.0398972314,0.029684333,0.0186121012,0.0030361754,0.0031583555,0.0372520323,0.0188537463,0.0130142165,0.0146317452,0.0907302601,0.0002613296,,0.0755395366,0.0844637296,0.013075102,0.0019309546,0.0089175475,0.0059965158,0.0344595276,0.0031112348,0.0007337078,0.0005008253,0.0435379866,0.003858893
COL4A1,Collagen,COL4A1,up,1,1.2716573323,1.4037132584,1.2907115074,3.2161255397,3.0947629423,4.5236656731,3.0284643043,1.4686551802,1.4749375109,1.4494472886,1.1507157847,0.5324809859,0.541643832,,0.0406137682,0.0244986938,0.0863503342,0.0008506491,0.0008222941,0.0066539662,0.0529576316,0.0194987675,0.0549613828,0.0338841887,0.0555095789,0.0278729352,0.0101888858,,0.0802571351,0.8132266084,0.009371756,0.0099992936,0.0044769852,0.001049177,0.0524509823,0.060065199,0.0441460579,0.1420025323,0.003873592,0.0177913611
COL4A4,Collagen,COL4A4,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
COL4A5,Collagen,COL4A5,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
MMP1,Collagen,MMP1,down,1,0.7748841951,0.7199960105,0.8585629114,0.5594095614,0.527460715,0.5767415058,0.924012057,0.612469248,1.4927303353,2.6808550721,5.7907865866,1.2351226756,2.2721359073,,0.0290873066,0.0160638412,0.0016455642,0.0069897299,0.0028366393,0.0097793531,0.0009873385,0.0661360096,0.0553379739,0.1278681759,0.0439600727,0.0906627525,0.0133682503,,0.1791975559,0.152404231,0.0488951814,0.0507665004,0.0448115502,0.0869153098,0.1370345318,0.0111475454,0.023189653,0.000172745,0.065670688,0.002001104
MMP9,Collagen,MMP9,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
MMP2,Collagen,MMP2,down,1,1.0199692081,1.0328302294,0.9816720387,1.1294806036,1.1202758565,1.3305523907,1.2207847489,3.2001145696,2.4834276433,2.2532443742,2.4284003456,1.6019468363,1.3409314234,,0.0024243986,0.0033498331,0.0282886439,0.034962853,0.0208432393,0.0117925504,0.0070350987,0.0111456448,0.0381689293,0.0702326867,0.0979358211,0.0450902205,0.0103310229,,0.0564687077,0.3045503702,0.1398631606,0.0892849338,0.0131274165,0.0076138516,0.0014235461,0.0114124069,0.0254568528,0.0311811811,0.0343585037,0.0101100359
