,,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,STD,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,p-value,H2O2 ,2605L 6h,2277L 6h,2277H 6h
Nonalcoholic liver damage,MSH6,1.0,0.8230842821743359,0.8498165051284466,0.8414886609579374,0.7042987986575078,,0.0,0.0496495339429767,0.03787349195052818,0.07872843025519713,0.02403512388386783,,0.0035000549398712215,0.002353688335674066,0.025184460421840103,2.8676916846270906e-05
Nonalcoholic liver damage,OGG1,1.0,0.9438482655353133,0.9132259286988512,0.9731303552117131,1.0932165007533114,,0.0,0.09161607503971538,0.07455797797654276,0.035531246331438684,0.06828836647942982,,0.34827064992813117,0.11403681634161442,0.2604165078299519,0.07729770488794681
Nonalcoholic liver damage,SOD1,1.0,1.045034740137966,0.9063352832569734,0.9128978849234226,1.078819602016648,,0.0,0.034129653959672865,0.025409173023728263,0.04574129533690715,0.053853268870830424,,0.08427628165692405,0.003088040061763522,0.02998313667432829,0.06431981508891618
Nonalcoholic liver damage,SOD2,1.0,1.0522492713799678,0.9223455671041773,0.8756325885217447,1.0162633681959894,,0.0,0.08435176085502555,0.08275020991259045,0.07604824680339087,0.09583495583700402,,0.3437444152037376,0.17940521447690405,0.04722263997024626,0.7834308001521194
Nonalcoholic liver damage,UNG,1.0,0.8198370558266516,0.9377673638728262,0.8638298329714741,1.0629850168748256,,0.0,0.08546952569838594,0.04644491350824613,0.022731556773883433,0.060156528816719554,,0.021751782442547128,0.081064114181748,0.00048715864896553947,0.14396206790247876
Nonalcoholic liver damage,XPA,1.0,0.7993608367228354,0.8691458454386982,0.7122167344567112,0.6930708890180126,,0.0,0.00881922298517505,0.015528001355454112,0.0619125722406057,0.023681872486155255,,2.4780201561053566e-06,0.0001281596878465553,0.0012923008830161848,2.3318295961229468e-05
Nonalcoholic liver damage,XRCC1,1.0,0.7795204402515723,0.8522012578616351,0.8974056603773586,0.8379716981132076,,0.0,0.47356221188798675,0.11613802024211402,0.0889507460680297,0.1544961194659797,,0.46522288899595055,0.09221685914079619,0.11641935589977799,0.14346032595954225
Nonalcoholic liver damage,XRCC5,1.0,0.8531618791660568,0.9656186537747452,0.9317180936438262,0.788189837331014,,0.0,0.023052783885958692,0.05431790098200021,0.03682502415593427,0.040926227193631495,,0.0003837307725347835,0.33450878167252146,0.032538937208415636,0.0008568985752554712
Cardiovascular care,CASP8,1.0,1.0379114067478037,1.0538277990322193,0.9421064558700026,0.9698868256528518,,0.0,0.161365363533618,0.0686396420182862,0.03465257818844252,0.04053708803565289,,0.7048927642213099,0.24593072066573607,0.04439716160552422,0.26762812599836827
Cardiovascular care,EDN1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Cardiovascular care,F3,1.0,0.7527108560820218,1.150710940466647,1.0126155014556348,1.1940846377789966,,0.0,0.4403120704775871,0.10838260696805738,0.119251262775828,0.05447373968537491,,0.38575623507567713,0.07367476893519917,0.8635285674114479,0.0035014579285233714
Cardiovascular care,FGF2,1.0,0.7243645166868408,1.1066343881491727,1.300017292062943,1.4539166522566138,,0.0,0.655621514398802,0.28047493328654627,0.11962421180590041,0.0029498049644184738,,0.5068390376785256,0.5461836900283588,0.01221468009446739,1.1888764700130402e-09
Cardiovascular care,ICAM1,1.0,0.7730748470672903,1.0561353004677942,0.9960192515293271,0.7871986326016552,,0.0,0.560530285756178,0.05908929425838915,0.04750620788710189,0.02419470123560124,,0.5218242389419745,0.17521986776449194,0.8916230998872463,0.00010827255030732099
Cardiovascular care,IGF1R,1.0,0.8557608913203016,0.9032623924211088,0.9874574688104611,1.0062045500033359,,0.0,0.7888925787759508,0.11896953905750418,0.11342555092592015,0.09572799338056906,,0.7673224245556131,0.23179249944648073,0.857440460424186,0.9160239919222313
